"ORIGIN","DEST","CARRIER","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ABQ","DEN","EV",309,0.0129449838187702,0.106796116504854,0.0346702786048867,0.147447319718199
"ABQ","IAH","EV",858,0.0151515151515152,0.0687645687645688,0.0263089044297892,0.0882339463948952
"ALB","ATL","EV",125,0.016,0.088,0.0615309779441146,0.153783765319262
"ALB","DTW","EV",517,0.0154738878143133,0.0541586073500967,0.0312160555353474,0.0779930674490457
"ALB","EWR","EV",57,0.0350877192982456,0.087719298245614,0.128961130826361,0.196371195279831
"ALB","IAD","EV",58,0.0172413793103448,0.103448275862069,0.102891186966942,0.21418219581885
"ALB","MSP","EV",52,0.0192307692307692,0.0961538461538462,0.113750643429007,0.213388347648318
"ALB","ORD","EV",146,0.0684931506849315,0.205479452054795,0.124301993935563,0.280230711901251
"ATL","ALB","EV",125,0.016,0.112,0.0615309779441146,0.182073311722144
"ATL","BDL","EV",1,0,0,0.838178046004133,0.838178046004133
"ATL","BHM","EV",97,0.0206185567010309,0.11340206185567,0.0784157615599086,0.195356854638343
"ATL","BNA","EV",40,0.05,0.15,0.177587508113236,0.298109481648515
"ATL","BOS","EV",6,0.166666666666667,0.333333333333333,0.589827534923789,0.709838667696593
"ATL","BTR","EV",2435,0.0123203285420945,0.100205338809035,0.0177282676421385,0.113056496087216
"ATL","BUF","EV",2,0,0,0.718233512793084,0.718233512793084
"ATL","CHS","EV",36,0,0.111111111111111,0.118920243760451,0.262915897906362
"ATL","CID","EV",859,0.0162980209545984,0.0826542491268917,0.0277236305193177,0.103533389867727
"ATL","CLE","EV",93,0.021505376344086,0.10752688172043,0.0816150260538643,0.190572280527439
"ATL","CVG","EV",2,0,0.5,0.718233512793084,0.908248290463863
"ATL","DAL","EV",556,0.0143884892086331,0.0809352517985611,0.0290496994737144,0.107363064675939
"ATL","DFW","EV",40,0.025,0.1,0.144180058503097,0.239834578723545
"ATL","DSM","EV",16,0,0.1875,0.234164078649987,0.443649167310371
"ATL","DTW","EV",2,0,0.5,0.718233512793084,0.908248290463863
"ATL","EWR","EV",532,0.0582706766917293,0.154135338345865,0.0823317739385736,0.188120902601566
"ATL","GRR","EV",15,0,0.0666666666666667,0.246074958749461,0.325204087208216
"ATL","GSO","EV",760,0.00526315789473684,0.0763157894736842,0.0142404512270174,0.0979989195664858
"ATL","GSP","EV",788,0.0101522842639594,0.0761421319796954,0.0205612383024441,0.0973725456322062
"ATL","HOU","EV",144,0.0208333333333333,0.131944444444444,0.0634861086254679,0.199257147151555
"ATL","HPN","EV",2150,0.0302325581395349,0.118139534883721,0.038585928283602,0.132794007369056
"ATL","IAD","EV",706,0.0269121813031161,0.118980169971671,0.0422937930667973,0.145616490338205
"ATL","IAH","EV",877,0.00912200684150513,0.0718358038768529,0.0184887158878504,0.0913941971616383
"ATL","ICT","EV",222,0.0135135135135135,0.108108108108108,0.0416919855533169,0.157493398802937
"ATL","JAN","EV",394,0.0228426395939086,0.0862944162436548,0.0440727180841147,0.119207099174529
"ATL","LIT","EV",47,0.0212765957446809,0.0425531914893617,0.124719062777789,0.153724208626797
"ATL","MCO","EV",1,0,1,0.838178046004133,1
"ATL","MIA","EV",1,0,1,0.838178046004133,1
"ATL","MSN","EV",106,0.0188679245283019,0.0849056603773585,0.0720599933532379,0.157207755354736
"ATL","MSP","EV",3,0,0.333333333333333,0.627208174095541,0.802659240404558
"ATL","OKC","EV",218,0.0137614678899083,0.0688073394495413,0.0424391317810225,0.112271127728215
"ATL","OMA","EV",325,0.00923076923076923,0.0615384615384615,0.0286870001656348,0.0944126455881348
"ATL","ORD","EV",99,0.0303030303030303,0.0909090909090909,0.0908955210674591,0.167660666425655
"ATL","ORF","EV",26,0,0.0769230769230769,0.157750673475196,0.257459911500168
"ATL","PNS","EV",24,0.0416666666666667,0.0833333333333333,0.22404529834071,0.275117157110364
"ATL","PVD","EV",29,0.103448275862069,0.137931034482759,0.276346339525924,0.31609980834109
"ATL","RDU","EV",1,0,0,0.838178046004133,0.838178046004133
"ATL","RIC","EV",6,0,0,0.45298221281347,0.45298221281347
"ATL","ROC","EV",8,0,0.25,0.381832408122634,0.605498860309242
"ATL","SAV","EV",7,0,0,0.414400781478848,0.414400781478848
"ATL","SDF","EV",122,0,0.0491803278688525,0.0381419801400699,0.106939101627211
"ATL","STL","EV",4,0,0,0.556186217847897,0.556186217847897
"ATL","TUL","EV",849,0.0094228504122497,0.0730270906949352,0.0190942246224413,0.093069242040628
"ATL","TYS","EV",650,0.0184615384615385,0.0569230769230769,0.0327259706883122,0.0781526971310522
"ATL","XNA","EV",1223,0.0122649223221586,0.0670482420278005,0.0205288399827223,0.0828783511926481
"AUS","ATL","EV",1,0,0,0.838178046004133,0.838178046004133
"AUS","DEN","EV",68,0,0.102941176470588,0.0665120382654664,0.20295119555779
"AUS","DTW","EV",268,0.0261194029850746,0.0746268656716418,0.0547790452141922,0.113946550284214
"AUS","IAH","EV",212,0.0188679245283019,0.0471698113207547,0.0501410134972059,0.0867268670937101
"AUS","MCO","EV",7,0.142857142857143,0.142857142857143,0.54129052577309,0.54129052577309
"AUS","MSP","EV",11,0,0,0.308874823627836,0.308874823627836
"BDL","CLE","EV",85,0,0.0352941176470588,0.0538928816879383,0.104996611633468
"BDL","CVG","EV",18,0.0555555555555556,0.0555555555555556,0.282693646360544,0.282693646360544
"BDL","DTW","EV",253,0.0276679841897233,0.075098814229249,0.0579533283900352,0.115886073621296
"BDL","EWR","EV",360,0.0444444444444444,0.102777777777778,0.0721780785315416,0.139565760678686
"BDL","IAD","EV",352,0.0454545454545455,0.161931818181818,0.0737864704046337,0.205145128183898
"BDL","MCO","EV",35,0.0285714285714286,0.114285714285714,0.162261568650035,0.26939501787674
"BDL","MSP","EV",72,0.0555555555555556,0.152777777777778,0.140810834997583,0.257440261300381
"BDL","ORD","EV",418,0.0263157894736842,0.107655502392345,0.0476283464994881,0.142002918433982
"BDL","RDU","EV",119,0.0588235294117647,0.092436974789916,0.120132669496706,0.161133243131878
"BHM","ATL","EV",98,0.0102040816326531,0.0612244897959184,0.0628703799408542,0.131671447514383
"BHM","DEN","EV",270,0.0185185185185185,0.118518518518519,0.0446112158004794,0.16392116123413
"BHM","DTW","EV",734,0.00953678474114441,0.0572207084468665,0.0202754775176717,0.0770527691708126
"BHM","IAH","EV",1483,0.0209035738368173,0.0930546190155091,0.0298324981741757,0.109295761424389
"BHM","LGA","EV",271,0.11070110701107,0.239852398523985,0.155036744802234,0.29540896937273
"BHM","MSP","EV",61,0.0163934426229508,0.0327868852459016,0.0982033306789244,0.121153368961633
"BHM","ORD","EV",837,0.038231780167264,0.118279569892473,0.0540115787445717,0.142513934458508
"BNA","ATL","EV",41,0.0731707317073171,0.195121951219512,0.204808226967952,0.346171855782826
"BNA","DEN","EV",410,0.0146341463414634,0.0829268292682927,0.0328549082943673,0.114653132924809
"BNA","DTW","EV",198,0.0202020202020202,0.0808080808080808,0.0535924451129702,0.129200023185065
"BNA","EWR","EV",1476,0.0582655826558266,0.130081300813008,0.0717536057417957,0.148626299207142
"BNA","IAD","EV",551,0.0127041742286751,0.0961887477313975,0.0269390135343983,0.124465384115728
"BNA","IAH","EV",1586,0.0182849936948298,0.0756620428751576,0.0264317235802589,0.0900794363793551
"BNA","LGA","EV",578,0.0865051903114187,0.183391003460208,0.112994573111821,0.217795990778577
"BNA","MCO","EV",8,0,0.125,0.381832408122634,0.5
"BNA","MSN","EV",1,0,0,0.838178046004133,0.838178046004133
"BNA","OKC","EV",1,0,0,0.838178046004133,0.838178046004133
"BNA","OMA","EV",1,0,0,0.838178046004133,0.838178046004133
"BNA","ORD","EV",1125,0.0346666666666667,0.109333333333333,0.0474504575801681,0.129394613647998
"BOS","ATL","EV",6,0,0.333333333333333,0.45298221281347,0.709838667696593
"BOS","CLE","EV",1215,0.0255144032921811,0.0921810699588477,0.0363679615518903,0.110197816985505
"BOS","CVG","EV",1,0,0,0.838178046004133,0.838178046004133
"BOS","DTW","EV",29,0.0344827586206897,0.0689655172413793,0.190996705920578,0.234840832310435
"BOS","EWR","EV",210,0.0571428571428571,0.0761904761904762,0.0992261376196412,0.122058815457867
"BOS","IAD","EV",1,0,0,0.838178046004133,0.838178046004133
"BOS","JAX","EV",80,0.1,0.2125,0.189716290441031,0.317484961673341
"BOS","MSP","EV",1,0,0,0.838178046004133,0.838178046004133
"BOS","RDU","EV",9,0,0.222222222222222,0.353982657103997,0.563707782873183
"BOS","RIC","EV",873,0.0400916380297824,0.129438717067583,0.0557652591776732,0.153924762429495
"BTR","ATL","EV",2432,0.0135690789473684,0.107730263157895,0.0191900044689622,0.120970769744931
"BTR","DFW","EV",1469,0.0503744043567052,0.183117767188564,0.0631227705964763,0.204169504640988
"BTR","IAH","EV",2596,0.0211864406779661,0.0743451463790447,0.0276666292440314,0.0853310584758179
"BTR","TYS","EV",1,1,1,1,1
"BUF","ATL","EV",2,0,0,0.718233512793084,0.718233512793084
"BUF","DTW","EV",485,0.00824742268041237,0.045360824742268,0.0222266495566344,0.0686185958487679
"BUF","EWR","EV",498,0.0321285140562249,0.106425702811245,0.0524537173722928,0.137442828731702
"BUF","IAD","EV",166,0.0301204819277108,0.120481927710843,0.0716553808891713,0.180898909843192
"BUF","LGA","EV",255,0.0901960784313725,0.192156862745098,0.133224438942047,0.246330555574481
"BUF","MSP","EV",8,0,0,0.381832408122634,0.381832408122634
"BUF","ORD","EV",450,0.0466666666666667,0.113333333333333,0.0712456933260364,0.146880996530308
"BWI","CVG","EV",5,0,0,0.499382028649922,0.499382028649922
"BWI","DTW","EV",40,0,0.075,0.108259025427978,0.209326745263714
"BWI","EWR","EV",146,0.0753424657534247,0.123287671232877,0.132610271388269,0.18884442665243
"BWI","LGA","EV",1,0,0,0.838178046004133,0.838178046004133
"BWI","MSP","EV",1,0,0,0.838178046004133,0.838178046004133
"BWI","ORD","EV",170,0.0705882352941176,0.176470588235294,0.121700859854938,0.242646875015612
"CHS","ATL","EV",36,0,0.111111111111111,0.118920243760451,0.262915897906362
"CHS","CLE","EV",18,0,0.0555555555555556,0.213490884084226,0.282693646360544
"CHS","DTW","EV",142,0.00704225352112676,0.0704225352112676,0.0440296356263637,0.127653278000055
"CHS","EWR","EV",1323,0.0506424792139078,0.131519274376417,0.0641865582529773,0.151251618770177
"CHS","IAD","EV",353,0.0226628895184136,0.110481586402266,0.0454771623774574,0.148595111837836
"CHS","IAH","EV",661,0.0257186081694402,0.0877458396369138,0.0414922637689071,0.112445911088283
"CHS","LGA","EV",550,0.0854545454545454,0.165454545454545,0.112574973060687,0.199628338927512
"CHS","ORD","EV",566,0.0636042402826855,0.159010600706714,0.0875627709325168,0.192223007740732
"CHS","ORF","EV",1,0,0,0.838178046004133,0.838178046004133
"CID","ATL","EV",934,0.0256959314775161,0.0877944325481799,0.0384389215014185,0.108198609612855
"CID","DEN","EV",58,0.0172413793103448,0.0689655172413793,0.102891186966942,0.17186938003192
"CID","DFW","EV",153,0.0326797385620915,0.143790849673203,0.0775298990639162,0.210305914979493
"CID","DTW","EV",425,0.0188235294117647,0.0964705882352941,0.0378797387228358,0.129231360103851
"CID","MSP","EV",26,0,0,0.157750673475196,0.157750673475196
"CID","ORD","EV",511,0.060665362035225,0.125244618395303,0.0856600651239599,0.157614088147611
"CLE","ATL","EV",93,0.032258064516129,0.10752688172043,0.096446905491455,0.190572280527439
"CLE","BDL","EV",88,0.0113636363636364,0.170454545454545,0.0696429739101419,0.265711454581965
"CLE","BNA","EV",1,0,0,0.838178046004133,0.838178046004133
"CLE","BOS","EV",1208,0.0248344370860927,0.102649006622517,0.0356133279954354,0.121494204221402
"CLE","CHS","EV",18,0,0.0555555555555556,0.213490884084226,0.282693646360544
"CLE","DCA","EV",1490,0.0221476510067114,0.074496644295302,0.0312535086645937,0.0893175798997092
"CLE","DEN","EV",87,0.0114942528735632,0.0689655172413793,0.0704013462528633,0.147280023428809
"CLE","DFW","EV",351,0.0398860398860399,0.0712250712250712,0.0670919432634773,0.104195183209817
"CLE","DTW","EV",694,0.0115273775216138,0.0763688760806916,0.0233224742740783,0.0991920304372629
"CLE","EWR","EV",353,0.0538243626062323,0.113314447592068,0.0837296999541159,0.15175123739132
"CLE","FLL","EV",32,0.03125,0.0625,0.175461799732094,0.215867671286896
"CLE","IAD","EV",425,0.0329411764705882,0.0823529411764706,0.0555930030215441,0.1133544917777
"CLE","IAH","EV",259,0.00772200772200772,0.0463320463320463,0.0303021490582347,0.0809179295855246
"CLE","IND","EV",1,1,1,1,1
"CLE","LGA","EV",2965,0.0812816188870152,0.18043844856661,0.0919076570307922,0.194997075134196
"CLE","MKE","EV",821,0.0097442143727162,0.0377588306942753,0.0197407367505979,0.0536448458467591
