"ORIGIN","DEST","CARRIER","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"DTW","LAX","NK",181,0.0220994475138122,0.12707182320442,0.0584804420607875,0.185404384321652
"DTW","LGA","NK",358,0.053072625698324,0.189944134078212,0.0825838118608562,0.234885408868714
"DTW","MCI","NK",181,0,0.132596685082873,0.0260167393704389,0.191644863519498
"DTW","MCO","NK",350,0.00857142857142857,0.0714285714285714,0.0266679117454402,0.104486238832345
"DTW","MSP","NK",76,0.0263157894736842,0.263157894736842,0.0987339717240448,0.374843627738579
"DTW","MSY","NK",181,0.0276243093922652,0.209944751381215,0.0658942042168123,0.276748408064648
"DTW","RSW","NK",379,0.0105540897097625,0.129287598944591,0.028356278857859,0.167879768442771
"DTW","TPA","NK",367,0.0108991825613079,0.141689373297003,0.0292700906248424,0.1821706468114
"FLL","ATL","NK",543,0.0128913443830571,0.112338858195212,0.0273316912810339,0.142472374328064
"FLL","BOS","NK",181,0.0386740331491713,0.104972375690608,0.0802823486512618,0.160158392903016
"FLL","BWI","NK",361,0.00831024930747922,0.116343490304709,0.0258668472909195,0.154633436131102
"FLL","CLE","NK",146,0.0136986301369863,0.10958904109589,0.0529753752656867,0.173065996645686
"FLL","DEN","NK",181,0.0331491712707182,0.0662983425414365,0.0731523904139122,0.114565365210885
"FLL","DFW","NK",388,0.0180412371134021,0.0541237113402062,0.0380885778095095,0.0824133207914816
"FLL","DTW","NK",392,0,0.0739795918367347,0.0121749383607636,0.105279765460187
"FLL","IAH","NK",184,0.00543478260869565,0.0489130434782609,0.0342359114653104,0.0927461006587138
"FLL","LAS","NK",180,0,0.0388888888888889,0.0261576806423647,0.0807142458263109
"FLL","LAX","NK",181,0.0110497237569061,0.0994475138121547,0.0430082186368897,0.15376742113804
"FLL","LGA","NK",724,0.0483425414364641,0.160220994475138,0.06710486602743,0.189405279751358
"FLL","MCO","NK",362,0,0.0580110497237569,0.0131712803156811,0.0882114645335684
"FLL","MSP","NK",105,0.019047619047619,0.114285714285714,0.0727148579339564,0.192534174114235
"FLL","MSY","NK",181,0.0110497237569061,0.0552486187845304,0.0430082186368897,0.101079663742531
"FLL","ORD","NK",440,0.00681818181818182,0.138636363636364,0.0212767651238847,0.17501173745819
"FLL","SJU","NK",192,0,0.0677083333333333,0.0245610172037844,0.114508499912866
"FLL","TPA","NK",182,0.021978021978022,0.247252747252747,0.0581683654484677,0.316414208610606
"IAH","ATL","NK",182,0.00549450549450549,0.104395604395604,0.0346024287510995,0.159313293172063
"IAH","BWI","NK",96,0.0416666666666667,0.208333333333333,0.107497368348152,0.302849260708832
"IAH","DEN","NK",181,0.0276243093922652,0.226519337016575,0.0658942042168123,0.294540898458645
"IAH","DTW","NK",181,0.0331491712707182,0.287292817679558,0.0731523904139122,0.358742433596975
"IAH","FLL","NK",181,0,0.0994475138121547,0.0260167393704389,0.15376742113804
"IAH","LAS","NK",286,0.00699300699300699,0.13986013986014,0.0274907517465793,0.186159306759849
"IAH","LAX","NK",235,0.00851063829787234,0.272340425531915,0.033332158822933,0.333990611538808
"IAH","MCI","NK",137,0.0218978102189781,0.182481751824818,0.0666108302375199,0.257762209721485
"IAH","MCO","NK",181,0.00552486187845304,0.149171270718232,0.0347886459705708,0.21021734106876
"IAH","MSP","NK",76,0.0131578947368421,0.157894736842105,0.0799816136699161,0.259963227339832
"IAH","MSY","NK",181,0.0220994475138122,0.193370165745856,0.0584804420607875,0.258817169767505
"IAH","OAK","NK",76,0.0263157894736842,0.131578947368421,0.0987339717240448,0.229843597113357
"IAH","ORD","NK",257,0.0272373540856031,0.221789883268482,0.0570714337673801,0.277834698493872
"IAH","SAN","NK",181,0.0441988950276243,0.104972375690608,0.0873040370394187,0.160158392903016
"IAH","TPA","NK",97,0.0824742268041237,0.268041237113402,0.158448509137133,0.366309399055655
"LAS","ATL","NK",55,0.0727272727272727,0.345454545454545,0.180393249165347,0.480599753156152
"LAS","BOS","NK",77,0.038961038961039,0.142857142857143,0.115208748119665,0.242063477351542
"LAS","BWI","NK",181,0.0165745856353591,0.0773480662983425,0.0508718255814208,0.127817470647436
"LAS","CLE","NK",121,0,0.148760330578512,0.0384456677334402,0.225580484902141
"LAS","DEN","NK",360,0.0111111111111111,0.111111111111111,0.0298308667855918,0.148875799384036
"LAS","DFW","NK",438,0.0319634703196347,0.162100456621005,0.0539680293612652,0.20048247911161
"LAS","DTW","NK",541,0.0055452865064695,0.0979667282809612,0.0173423381678266,0.126723070754676
"LAS","FLL","NK",180,0.0111111111111111,0.172222222222222,0.0432406676107322,0.235912945037104
"LAS","IAH","NK",285,0.00701754385964912,0.154385964912281,0.0275855428586478,0.202208858587517
"LAS","LAX","NK",360,0.00555555555555556,0.147222222222222,0.0219174760021725,0.188642725042732
"LAS","MCI","NK",181,0.0110497237569061,0.116022099447514,0.0430082186368897,0.172841311977438
"LAS","MSP","NK",286,0.034965034965035,0.15034965034965,0.0647701611999609,0.197695257275203
"LAS","OAK","NK",362,0.0303867403314917,0.149171270718232,0.0548685209500881,0.190639711226172
"LAS","ORD","NK",438,0.0251141552511416,0.162100456621005,0.0454847635652348,0.20048247911161
"LAS","PDX","NK",180,0.0166666666666667,0.0944444444444444,0.0511464931649891,0.14812735322649
"LAS","PHL","NK",181,0.0718232044198895,0.243093922651934,0.121217857873473,0.312204965139782
"LAS","SAN","NK",361,0.0110803324099723,0.105263157894737,0.0297494439768295,0.14229014210665
"LAX","CLE","NK",76,0.0394736842105263,0.197368421052632,0.116626587736527,0.303972331882378
"LAX","DEN","NK",76,0.0263157894736842,0.105263157894737,0.0987339717240448,0.198950997288745
"LAX","DFW","NK",257,0.0194552529182879,0.182879377431907,0.0468201590338554,0.236082642528696
"LAX","DTW","NK",181,0.0220994475138122,0.18232044198895,0.0584804420607875,0.246779849070641
"LAX","FLL","NK",180,0.0166666666666667,0.183333333333333,0.0511464931649891,0.248084317983192
"LAX","IAH","NK",235,0.0212765957446809,0.238297872340426,0.0511022432363648,0.298138662405785
"LAX","LAS","NK",362,0.00828729281767956,0.0856353591160221,0.025796403090207,0.120106392785941
"LAX","MSP","NK",181,0.00552486187845304,0.121546961325967,0.0347886459705708,0.179137011598982
"LAX","ORD","NK",358,0.0195530726256983,0.312849162011173,0.0412291296297311,0.363742481655905
"LGA","DFW","NK",181,0.0607734806629834,0.187845303867403,0.107854729216766,0.252807166534629
"LGA","DTW","NK",362,0.0414364640883978,0.157458563535912,0.0684492455248171,0.199643972182341
"LGA","FLL","NK",724,0.0497237569060773,0.154696132596685,0.0686850919482752,0.1835316664478
"LGA","ORD","NK",362,0.0828729281767956,0.281767955801105,0.116961227760485,0.331302352526928
"MCI","DFW","NK",137,0.0072992700729927,0.160583941605839,0.045581924359983,0.233512207489175
"MCI","DTW","NK",181,0.00552486187845304,0.110497237569061,0.0347886459705708,0.166515695925879
"MCI","IAH","NK",137,0.0218978102189781,0.175182481751825,0.0666108302375199,0.249715771105121
"MCI","LAS","NK",181,0.0165745856353591,0.165745856353591,0.0508718255814208,0.228588122298152
"MCI","ORD","NK",126,0.0158730158730159,0.111111111111111,0.0610613903067951,0.180704105253617
"MCO","ATL","NK",56,0,0.107142857142857,0.0796814524769205,0.221104078480584
"MCO","CLE","NK",122,0.00819672131147541,0.0983606557377049,0.0509731259653309,0.167105847853219
"MCO","DFW","NK",273,0.032967032967033,0.10989010989011,0.0631776471918495,0.153935594236791
"MCO","DTW","NK",349,0.0143266475644699,0.157593123209169,0.0346707495472746,0.200642875813357
"MCO","FLL","NK",362,0.00828729281767956,0.0635359116022099,0.025796403090207,0.0946787696429278
"MCO","IAH","NK",181,0.00552486187845304,0.171270718232044,0.0347886459705708,0.234670960099909
"MCO","MSP","NK",105,0.00952380952380952,0.0761904761904762,0.0588632833630466,0.147040918327517
"MCO","ORD","NK",181,0.0110497237569061,0.232044198895028,0.0430082186368897,0.300442733722798
"MCO","SJU","NK",95,0.0210526315789474,0.126315789473684,0.0799834217942935,0.211454874735053
"MSP","BWI","NK",76,0.0526315789473684,0.276315789473684,0.133896094946949,0.388703693114431
"MSP","DEN","NK",76,0.105263157894737,0.184210526315789,0.198950997288745,0.289442719099992
"MSP","DFW","NK",181,0.0386740331491713,0.281767955801105,0.0802823486512618,0.352967449751878
