"ORIGIN","DEST","CARRIER","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"BNA","DEN","F9",531,0.00376647834274953,0.0395480225988701,0.0149252685494499,0.0605293873851884,0.00560870999670076,0.0429301533219761
"BWI","PHL","F9",31,0,0.290322580645161,0.135612178551497,0.471224357102993,0.0131826741996234,0.151724137931034
"CID","DEN","F9",128,0.0078125,0.0625,0.0486705347132746,0.121820235805539,0.0118110236220472,0.0663043478260869
"CLE","ATL","F9",291,0.0206185567010309,0.127147766323024,0.0460326235491205,0.171644511543823,0.020207536865101,0.118731988472622
"CLE","CVG","F9",15,0,0,0.246074958749461,0.246074958749461,0.0155210643015521,0.0591549295774648
"CLE","DEN","F9",460,0.0130434782608696,0.104347826086957,0.0293273194710203,0.136548390837125,0.0138266068759342,0.101162790697674
"CLE","DFW","F9",86,0,0.197674418604651,0.0532980399457823,0.297145525382131,0.0086848635235732,0.149295774647887
"CLE","FLL","F9",230,0.0173913043478261,0.134782608695652,0.0463066846094697,0.186530859961598,0.0176933158584535,0.123076923076923
"CLE","IAD","F9",46,0,0.173913043478261,0.0954256258422041,0.313137084989848,0.0115511551155116,0.119607843137255
"CLE","LAS","F9",305,0.0163934426229508,0.134426229508197,0.0395832464858421,0.178537815364414,0.0168332456601789,0.125207756232687
"CLE","LGA","F9",48,0,0.0208333333333333,0.0917980957908874,0.122359446728978,0.0113636363636364,0.05
"CLE","MCO","F9",543,0,0.0994475138121547,0.00881764458948266,0.128299510450241,0.00226463927531543,0.0971619365609349
"CLE","ORD","F9",52,0,0.134615384615385,0.0853117910592438,0.25887057656924,0.0110062893081761,0.103703703703704
"CLE","PHX","F9",134,0,0.111940298507463,0.0348395396568995,0.179142067389807,0.00669216061185468,0.101052631578947
"CLE","PIT","F9",63,0.0158730158730159,0.111111111111111,0.0953083426286757,0.217649083763023,0.0173661360347323,0.0941176470588235
"CLE","RDU","F9",147,0,0.054421768707483,0.0318518766947394,0.106698979518786,0.0063006300630063,0.0600985221674877
"CLE","RSW","F9",303,0.0033003300330033,0.105610561056106,0.0210004380612635,0.146570640040474,0.00634584875727129,0.1008356545961
"CLE","SEA","F9",89,0,0.0786516853932584,0.0515897702781868,0.158089156556321,0.00852618757612668,0.0772413793103448
"CLE","TPA","F9",274,0.00364963503649635,0.171532846715328,0.0231847471926388,0.221965557713827,0.00687285223367698,0.155151515151515
"CLT","IAD","F9",89,0.0224719101123595,0.101123595505618,0.0850863773029718,0.185253971434197,0.0207064555420219,0.0910344827586207
"CLT","PHL","F9",110,0.00909090909090909,0.0727272727272727,0.0563001530584109,0.140708745378042,0.0129589632829374,0.0734939759036145
"CVG","ATL","F9",62,0.0161290322580645,0.0967741935483871,0.0967341886197969,0.201559753367226,0.0174927113702624,0.0864406779661017
"CVG","CLE","F9",16,0,0.1875,0.234164078649987,0.443649167310371,0.0153508771929825,0.1
"CVG","DEN","F9",447,0.00894854586129754,0.0984340044742729,0.0240937537203984,0.130497320916385,0.0103408655687476,0.0958250497017893
"CVG","DFW","F9",248,0.00403225806451613,0.0967741935483871,0.0255691278834399,0.141498536687626,0.00742574257425743,0.0927631578947368
"CVG","FLL","F9",141,0,0.113475177304965,0.0331645034443533,0.178904572054664,0.00647548566142461,0.10253807106599
"CVG","IAD","F9",98,0,0.0612244897959184,0.0470643153730982,0.131671447514383,0.00808314087759815,0.0662337662337662
"CVG","LAS","F9",216,0.00462962962962963,0.185185185185185,0.0292745530358262,0.243903569166454,0.00824175824175824,0.1625
"CVG","MCO","F9",182,0.010989010989011,0.17032967032967,0.0427782553027761,0.233441955379387,0.0132192846034215,0.147899159663866
"CVG","PHX","F9",70,0.0142857142857143,0.114285714285714,0.0863940116951967,0.214617796983114,0.0165289256198347,0.0968253968253968
"CVG","RSW","F9",62,0,0.145161290322581,0.0725036741710783,0.258413647093863,0.0102040816326531,0.111864406779661
"DCA","DEN","F9",1084,0.00738007380073801,0.0774907749077491,0.0149774110056198,0.095403606833548,0.00810904071773637,0.0773684210526316
"DEN","ANC","F9",82,0.0121951219512195,0.024390243902439,0.0744551734923277,0.0919287112497934,0.0152671755725191,0.0449275362318841
"DEN","ATL","F9",778,0.0051413881748072,0.057840616966581,0.0139132343448933,0.0771008747873759,0.00632911392405063,0.0589928057553957
"DEN","AUS","F9",704,0.00142045454545455,0.0553977272727273,0.00911970992332031,0.0754659837946619,0.00308008213552361,0.0568421052631579
"DEN","BNA","F9",531,0.00376647834274953,0.0263653483992467,0.0149252685494499,0.0446345155158028,0.00560870999670076,0.0310051107325383
"DEN","CID","F9",128,0.0078125,0.1171875,0.0486705347132746,0.187097803372001,0.0118110236220472,0.104347826086957
"DEN","CLE","F9",458,0,0.0698689956331878,0.0104378752122149,0.0978887153578762,0.00262565641410353,0.0704280155642023
"DEN","CVG","F9",447,0,0.0492170022371365,0.0106921257193185,0.074354092327431,0.00268096514745308,0.0520874751491054
"DEN","DCA","F9",1080,0.00277777777777778,0.0861111111111111,0.0087286070732409,0.104815325170605,0.00380886426592798,0.0855633802816901
"DEN","DFW","F9",1321,0.0105980317940954,0.0855412566237699,0.0180766425728943,0.102260937939698,0.0110299384042401,0.0851125635439361
"DEN","DSM","F9",271,0,0.0885608856088561,0.0175204478783458,0.129832662955662,0.00404390525707683,0.0862385321100917
"DEN","DTW","F9",357,0.00560224089635854,0.0336134453781513,0.0220991069413566,0.0591046375194362,0.00786672836649699,0.039225181598063
"DEN","FAT","F9",108,0,0.0185185185185185,0.042884460293812,0.0707850180736416,0.00764192139737991,0.0378048780487805
"DEN","FLL","F9",168,0,0.0238095238095238,0.0279763645215704,0.0628649633782918,0.00575657894736842,0.0366071428571429
"DEN","GEG","F9",222,0.00900900900900901,0.0855855855855856,0.0352409014997744,0.131544057511387,0.0114401076716016,0.0834532374100719
"DEN","GSO","F9",116,0.00862068965517241,0.0517241379310345,0.0535043856274785,0.112208670070932,0.0125523012552301,0.0593023255813953
"DEN","HOU","F9",1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158
"DEN","IAH","F9",686,0.00145772594752187,0.107871720116618,0.00935733732770189,0.133981693982909,0.00315291644771414,0.105390835579515
"DEN","IND","F9",590,0.00677966101694915,0.0644067796610169,0.0183066908531305,0.0879053747736162,0.00811785929043897,0.0653250773993808
"DEN","LAS","F9",1728,0.00231481481481481,0.0711805555555556,0.00628780981156036,0.0846066256760039,0.00299467613132209,0.0713004484304933
"DEN","LAX","F9",1135,0.0026431718061674,0.0572687224669604,0.0083075585887717,0.0727672670810814,0.00363576268385391,0.0581024349286314
"DEN","LGA","F9",391,0.0127877237851662,0.115089514066496,0.0309984969689947,0.151568978950426,0.0137280137280137,0.11006711409396
"DEN","LIT","F9",68,0.0147058823529412,0.0882352941176471,0.0887661804383699,0.185185185185185,0.0167597765363128,0.082258064516129
"DEN","MCI","F9",681,0,0.0763582966226138,0.00704276644629251,0.0994244566795424,0.00185136207352552,0.0762550881953867
"DEN","MCO","F9",832,0,0.0817307692307692,0.00577158111577906,0.10289154917081,0.00154320987654321,0.0813063063063063
"DEN","MDW","F9",445,0.0134831460674157,0.0943820224719101,0.0303034133893862,0.126057268699612,0.0142252979623222,0.0922155688622755
"DEN","MEM","F9",320,0.00625,0.059375,0.024614913456789,0.0921702382722394,0.00860323886639676,0.0617021276595745
"DEN","MIA","F9",239,0.00418410041841004,0.0585774058577406,0.0265129706308456,0.0976631326948938,0.00763844684914067,0.0616949152542373
"DEN","MKE","F9",833,0.00120048019207683,0.0876350540216086,0.00771551729384846,0.109350406877974,0.00264258973794318,0.0868391451068617
"DEN","MSN","F9",291,0.00687285223367698,0.0893470790378007,0.0270264027110334,0.129044887218943,0.00928454396504642,0.0870317002881844
"DEN","MSP","F9",1276,0.00313479623824451,0.0815047021943574,0.00850584688696807,0.0982189302569323,0.00399644760213144,0.0812312312312312
"DEN","MSY","F9",289,0,0.0657439446366782,0.0164462705123479,0.101810926492168,0.00384404173531027,0.0672463768115942
"DEN","OAK","F9",1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158
"DEN","OKC","F9",388,0.0103092783505155,0.0747422680412371,0.027707506944004,0.10634222842679,0.0116580310880829,0.0747747747747748
"DEN","OMA","F9",495,0,0.0585858585858586,0.00966483615862776,0.0837356509363595,0.00245527884952648,0.0602540834845735
"DEN","ORD","F9",444,0.00225225225225225,0.114864864864865,0.0144028651297175,0.148821106846727,0.00462249614791988,0.1104
"DEN","PBI","F9",98,0,0.0204081632653061,0.0470643153730982,0.0776547474046905,0.00808314087759815,0.0402597402597403
"DEN","PDX","F9",1034,0.00193423597678917,0.0754352030947776,0.00769969694757694,0.0936275309480828,0.00306527226830148,0.0754128440366972
"DEN","PHX","F9",1184,0.00337837837837838,0.0658783783783784,0.00916379854000638,0.0818819356835158,0.00428843710292249,0.0662903225806452
"DEN","PSP","F9",45,0,0.0666666666666667,0.0973490362380913,0.188527096059425,0.0116472545757072,0.0712871287128713
"DEN","RDU","F9",20,0,0,0.196167200064388,0.196167200064388,0.0147058823529412,0.0552631578947368
"DEN","RSW","F9",258,0.00387596899224806,0.0387596899224806,0.0245962285194284,0.0716323760378783,0.00720288115246098,0.0452229299363057
"DEN","SAN","F9",1121,0.00356824264049955,0.0686886708296164,0.00967635384450915,0.0854585602749341,0.00451429526834977,0.0689889549702634
"DEN","SEA","F9",948,0.00421940928270042,0.0643459915611814,0.0114322658860596,0.0822901874508674,0.00527756059421423,0.0649402390438247
"DEN","SFO","F9",1226,0.000815660685154976,0.117455138662316,0.00525193050561261,0.137143538805338,0.00184445127574547,0.115600624024961
"DEN","SLC","F9",1414,0.000707213578500707,0.0685997171145686,0.00455601921825868,0.0833515616418885,0.0016116035455278,0.068843537414966
"DEN","SNA","F9",1082,0.00462107208872458,0.0295748613678373,0.0113024138186019,0.0418765187233919,0.00553059108192188,0.0318101933216169
"DEN","STL","F9",530,0.00377358490566038,0.0849056603773585,0.0149531658543144,0.112535605374937,0.00561797752808989,0.0839590443686007
"DEN","TPA","F9",487,0.00410677618069815,0.0554414784394251,0.0162600272937867,0.0803409865168497,0.00604766986837424,0.0574585635359116
"DEN","TYS","F9",142,0,0.0422535211267606,0.0329382707719667,0.0924636209498956,0.00644567219152855,0.0515151515151515
"DFW","CLE","F9",85,0.0117647058823529,0.2,0.0719687349580258,0.300353343026248,0.0149812734082397,0.150354609929078
"DFW","CVG","F9",250,0.004,0.144,0.0253684392022135,0.19436712545741,0.00738007380073801,0.131372549019608
"DFW","DEN","F9",1322,0.00907715582450832,0.0816944024205749,0.0161717234297518,0.098105045742718,0.00959060979101059,0.081422351233672
"DFW","MEM","F9",63,0,0.0317460317460317,0.0714312233292764,0.117593427028847,0.0101302460202605,0.0521008403361345
"DSM","DEN","F9",273,0,0.0549450549450549,0.0173942155176133,0.0902135824337642,0.00402067777139575,0.0583586626139818
"DTW","DEN","F9",357,0.00280112044817927,0.0868347338935574,0.0178661435242303,0.121749075500545,0.00555298472929199,0.0852300242130751
"DTW","IAD","F9",128,0,0.0703125,0.0364160444020375,0.131445855765802,0.00688976377952756,0.0717391304347826
"DTW","SLC","F9",1,0,1,0.838178046004133,1,0.0183727034120735,0.0912280701754386
"FAT","DEN","F9",106,0,0.0660377358490566,0.0436599654452862,0.134084620534419,0.00772626931567329,0.0691358024691358
"FLL","CLE","F9",231,0.0303030303030303,0.168831168831169,0.0633361053399454,0.22398128513201,0.0274330502939255,0.150522648083624
"FLL","CVG","F9",141,0,0.113475177304965,0.0331645034443533,0.178904572054664,0.00647548566142461,0.10253807106599
"FLL","DEN","F9",169,0,0.0177514792899408,0.0278152040901797,0.0543759299883076,0.00573300573300573,0.032
"FLL","IAD","F9",142,0.028169014084507,0.190140845070423,0.0739538321345255,0.264667943855435,0.0248618784530387,0.157575757575758
"FLL","STL","F9",48,0,0.0625,0.0917980957908874,0.177917240268849,0.0113636363636364,0.0692307692307692
"GEG","DEN","F9",223,0.00448430493273543,0.0403587443946188,0.0283750437990061,0.0769627154545744,0.00804828973843058,0.0473118279569892
"GSO","DEN","F9",116,0,0.0775862068965517,0.0400396488532918,0.144349329497649,0.00732217573221757,0.0767441860465116
"HOU","DEN","F9",1,0,0,0.838178046004133,0.838178046004133,0.0183727034120735,0.0736842105263158
"IAD","ATL","F9",268,0,0.145522388059701,0.0177132695216293,0.194123786293656,0.00407925407925408,0.133333333333333
"IAD","CLE","F9",46,0,0.152173913043478,0.0954256258422041,0.288664621657649,0.0115511551155116,0.109803921568627
"IAD","CLT","F9",89,0.0224719101123595,0.134831460674157,0.0850863773029718,0.224699925216403,0.0207064555420219,0.111724137931034
"IAD","CVG","F9",98,0,0.0612244897959184,0.0470643153730982,0.131671447514383,0.00808314087759815,0.0662337662337662
"IAD","DTW","F9",128,0.0078125,0.046875,0.0486705347132746,0.102142085869233,0.0118110236220472,0.0554347826086957
