"ORIGIN","DEST","CARRIER","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"MIA","DFW","AA",3943,0.014455997971088,0.0765914278468171,0.0188110060652386,0.085508332583683,0.014533870887462,0.0765691422855714
"MIA","DTW","AA",408,0,0.0269607843137255,0.0117028001423124,0.0487777263961457,0.00289735099337748,0.0327586206896552
"MIA","EWR","AA",1280,0.015625,0.0859375,0.0243770396536305,0.102976497527535,0.0157910271546635,0.0854790419161677
"MIA","IAD","AA",688,0.00581395348837209,0.0755813953488372,0.0157192122798247,0.0984275390522639,0.00707547169811321,0.0755376344086022
"MIA","IAH","AA",1733,0.0126947489901904,0.0646278130409694,0.0194185576817104,0.0775138311026934,0.0129410463444309,0.0649524874231414
"MIA","JFK","AA",2501,0.0191923230707717,0.121551379448221,0.0255490160243888,0.135241231001162,0.0191755298501669,0.120531873289011
"MIA","LAS","AA",1435,0.00627177700348432,0.0369337979094077,0.0122361695687735,0.0483295212244174,0.00688650509866243,0.0383635144198525
"MIA","LAX","AA",2833,0.0060007059654077,0.0649488175079421,0.00975980132556902,0.0748562063256289,0.00632693762464755,0.0651436483212184
"MIA","LGA","AA",4063,0.0270735909426532,0.0849126261383214,0.0326708958450052,0.0940819008379262,0.02691991687207,0.0847778587035688
"MIA","MCI","AA",107,0.00934579439252336,0.0654205607476635,0.0578105295919729,0.132897437110207,0.013172338090011,0.0687116564417178
"MIA","MCO","AA",3236,0.00370828182941904,0.0590234857849197,0.00662565728866597,0.0678841478933809,0.00404687122493356,0.0592952612393682
"MIA","MSP","AA",436,0.00458715596330275,0.0596330275229358,0.0181404015240941,0.0869107695675585,0.0066510172143975,0.0613821138211382
"MIA","MSY","AA",665,0.00150375939849624,0.0511278195488722,0.0096507112767278,0.0712595897630189,0.00324236692785734,0.0529819694868239
"MIA","ORD","AA",3530,0.0144475920679887,0.0852691218130312,0.0190861987210214,0.0951578690042022,0.0145345611893931,0.0851087562744004
"MIA","PHL","AA",1456,0.010989010989011,0.0666208791208791,0.0181046661814567,0.0809679610864873,0.0113636363636364,0.0669312169312169
"MIA","PHX","AA",709,0.00282087447108604,0.0352609308885755,0.0112044376195631,0.0521649889959137,0.00433562866615659,0.0381699346405229
"MIA","RDU","AA",925,0.00432432432432432,0.0605405405405405,0.0117148909454316,0.0783082996352516,0.00539892021595681,0.0613659531090724
"MIA","SAN","AA",402,0.00497512437810945,0.0248756218905473,0.019655780277964,0.0463671134062089,0.00712489522212909,0.0310043668122271
"MIA","SAT","AA",103,0,0.0388349514563107,0.0448772760318676,0.100557415259892,0.00785634118967452,0.0515723270440252
"MIA","SEA","AA",369,0.00542005420054201,0.043360433604336,0.0213900655974025,0.0704504321297343,0.00765420981539847,0.0475294117647059
"MIA","SFO","AA",1116,0.00627240143369176,0.0922939068100358,0.013371289492901,0.111169297334935,0.00705171255876427,0.0914675767918089
"MIA","SJU","AA",2478,0.00121065375302663,0.0484261501210654,0.00381451616246673,0.0578327794092363,0.00172332758890804,0.0490134175217048
"MIA","SLC","AA",103,0.00970873786407767,0.058252427184466,0.0599550859514193,0.125619395108219,0.0134680134680135,0.0641509433962264
"MIA","STL","AA",634,0.00788643533123028,0.0977917981072555,0.0192200531958396,0.124100766530223,0.00902425267907501,0.0959420289855072
"MIA","TPA","AA",1762,0.00681044267877412,0.0499432463110102,0.0121481277970746,0.0614291450209695,0.00729370781624211,0.0507150715071507
"MIA","TUL","AA",52,0,0.0576923076923077,0.0853117910592438,0.165496781868825,0.0110062893081761,0.0666666666666667
"MKE","DFW","AA",1016,0.0374015748031496,0.112204724409449,0.0513711847034915,0.13360670638523,0.0361070381231672,0.110261194029851
"MSP","DFW","AA",2114,0.0274361400189215,0.0931882686849574,0.0355386800927636,0.106636149201247,0.0271331993422255,0.0927188940092166
"MSP","MIA","AA",437,0.0045766590389016,0.0411899313501144,0.0180993607430588,0.0651680289332978,0.00663803201874268,0.0450304259634888
"MSP","ORD","AA",1113,0.0251572327044025,0.124887690925427,0.036532089973786,0.146104949088154,0.0247433092072042,0.122497861420017
"MSY","DFW","AA",2525,0.0277227722772277,0.0887128712871287,0.0350839243159684,0.10070847459947,0.0274594261979848,0.0884153428903526
"MSY","MIA","AA",665,0.00300751879699248,0.0345864661654135,0.0119402450302194,0.0520349401964774,0.00459335314779789,0.0377253814147018
"MSY","ORD","AA",23,0.0434782608695652,0.0434782608695652,0.232073567544848,0.232073567544848,0.0244399185336049,0.0658227848101266
"OGG","DFW","AA",545,0.0220183486238532,0.0954128440366973,0.0389567994971391,0.123780387204352,0.0216059335698162,0.0935108153078203
"OGG","LAX","AA",919,0.00870511425462459,0.058759521218716,0.0176491886821059,0.0763873240884811,0.00945483806075237,0.0596923076923077
"OKC","DFW","AA",2223,0.0251911830859199,0.0850202429149798,0.0327938448379174,0.0976329946531777,0.0249760682273083,0.0847740236946029
"OMA","DFW","AA",1723,0.0319210679048172,0.0835751596053395,0.0416030076724387,0.0979282236327144,0.0313646980313647,0.0833052276559865
"ONT","DFW","AA",1562,0.0275288092189501,0.087708066581306,0.0371789516734392,0.103134648903291,0.0271194722697288,0.0872682323856613
