"ORIGIN","DEST","CARRIER","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ABQ","DEN","UA",58,0.0344827586206897,0.172413793103448,0.126916396880603,0.293898551102944
"ABQ","IAH","UA",2,0,0,0.718233512793084,0.718233512793084
"ALB","ORD","UA",703,0.0256045519203414,0.108108108108108,0.0407593410447058,0.133890646792021
"ANC","DEN","UA",387,0.00516795865633075,0.0956072351421189,0.0204078952538994,0.130053028279686
"ANC","EWR","UA",9,0,0.111111111111111,0.353982657103997,0.464478315480846
"ANC","IAH","UA",87,0.0344827586206897,0.183908045977011,0.102720213270916,0.28131741016835
"ANC","ORD","UA",375,0.0213333333333333,0.0933333333333333,0.0428510821991179,0.128117272571074
"ANC","SFO","UA",177,0.0225988700564972,0.146892655367232,0.0597629647760902,0.208453360383896
"ATL","DEN","UA",171,0.0116959064327485,0.0935672514619883,0.0454515512058856,0.148783183032416
"ATL","EWR","UA",1196,0.0468227424749164,0.131270903010033,0.0607157431987058,0.152074111303794
"ATL","IAD","UA",23,0.0869565217391304,0.130434782608696,0.284882697331985,0.334698782918395
"ATL","IAH","UA",306,0.0228758169934641,0.124183006535948,0.0481040700819485,0.16711246788423
"ATL","ORD","UA",239,0.0460251046025105,0.112970711297071,0.0823685669685757,0.160935159949314
"ATL","SFO","UA",606,0.0115511551155116,0.0907590759075908,0.0245173331585838,0.117011301689515
"AUS","DEN","UA",612,0.0147058823529412,0.076797385620915,0.0285288268690571,0.101350073263642
"AUS","EWR","UA",508,0.0196850393700787,0.0964566929133858,0.036809632751591,0.126079781148322
"AUS","IAD","UA",56,0,0.0178571428571429,0.0796814524769205,0.106273143387114
"AUS","IAH","UA",1427,0.00981079187105816,0.0518570427470217,0.0167401469687928,0.0649659536737324
"AUS","LAX","UA",4,0,0.25,0.556186217847897,0.717326598440729
"AUS","ORD","UA",435,0.0137931034482759,0.0735632183908046,0.0309910573431478,0.102964018155884
"AUS","SFO","UA",936,0.00427350427350427,0.0972222222222222,0.0115779993778472,0.118413140185116
"BDL","DEN","UA",1,0,0,0.838178046004133,0.838178046004133
"BDL","EWR","UA",1,0,1,0.838178046004133,1
