"month","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"01",393973,0.0262048414485257,0.0831122944973386,0.0267186988766012,0.0839961475776115,0.0262033933919759,0.0831111415657223
"02",359314,0.0467835931803381,0.112970827743979,0.047493259046745,0.11403134517828,0.0467776994968129,0.11296491081615
"03",422910,0.0226904069423754,0.075417937622662,0.0231529403100161,0.0762340816936561,0.0226896827595859,0.0754178822884109
"04",410059,0.0105228759763839,0.0570673976183915,0.0108464168302475,0.0577962451379199,0.0105243600753119,0.0570698462626337
"05",421425,0.0136157086077001,0.070211781455775,0.0139774199775345,0.0710030451736396,0.0136166008936651,0.0702124176416019
"06",424327,0.0207882128641354,0.100163317441501,0.0212308276169062,0.10108885336827,0.0207878281498069,0.100159996983857
"07",433643,0.0176712180295773,0.0878187818089996,0.0180758671630151,0.0886821999948939,0.0176713820171715,0.0878171266246867
"08",421319,0.0122235170974962,0.0727311134793351,0.0125667824039218,0.0735353662209633,0.012224658051772,0.0727314150103827
"09",391590,0.0141755407441457,0.0585152838427948,0.0145583855371432,0.0592699794862035,0.0141763935116012,0.0585176409308406
"10",412325,0.0102152428302916,0.0595767901533984,0.0105332526231559,0.0603183264109587,0.0102167748706232,0.0595788845751865
"11",389226,0.00886117576934737,0.0559469305750387,0.00916673539384986,0.0566882604245287,0.00886306027312528,0.0559496714464065
"12",401624,0.0116925283349601,0.0708896878672589,0.0120367100783206,0.0717039060909707,0.0116938246329592,0.0708902609042023
