"ORIGIN","DEST","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ABQ","ATL",875,0.00914285714285714,0.0365714285714286,0.0185306900553656,0.0516884373879741,0.00989265417806778,0.0388829215896885
"ABQ","BWI",562,0.0195729537366548,0.0836298932384342,0.0355614990791264,0.110212502841884,0.0194601381042059,0.0828478964401295
"ABQ","DAL",2096,0.012881679389313,0.0644083969465649,0.0189027164394074,0.0760156809884075,0.0130803242446573,0.0646840148698885
"ABQ","DEN",1629,0.0153468385512584,0.0810313075506446,0.0228450910246238,0.0956408202805721,0.015491139537613,0.0808308605341246
"ABQ","DFW",2114,0.0288552507095553,0.0851466414380322,0.0371277769820064,0.0981096219926977,0.0285035629453682,0.0848847926267281
"ABQ","HOU",1020,0.00882352941176471,0.0549019607843137,0.0171850835720906,0.0710877895952493,0.00949598246895544,0.0559479553903346
"ABQ","IAH",1174,0.0161839863713799,0.0689948892674617,0.025537428906488,0.0853711687862204,0.0163304514889529,0.0692682926829268
"ABQ","JFK",299,0.020066889632107,0.0802675585284281,0.0448240157268443,0.11798906780368,0.019775521111705,0.0794366197183099
"ABQ","LAS",1501,0.00666222518321119,0.0552964690206529,0.0125584898391622,0.0683792799643524,0.00723258469737343,0.0560051380860629
"ABQ","LAX",2182,0.0123739688359303,0.0646196150320807,0.0181604072297803,0.0759931504555812,0.012581959950381,0.0648793565683646
"ABQ","MCI",352,0.00568181818181818,0.03125,0.0224086084533961,0.0563994795452204,0.00795880149812734,0.0372549019607843
"ABQ","MCO",100,0.02,0.08,0.0761761798342662,0.153969296585393,0.0194063926940639,0.0782051282051282
"ABQ","MDW",717,0.0292887029288703,0.0711297071129707,0.0449895082059151,0.0929470907554383,0.0282756879575865,0.0714100905562743
"ABQ","MSP",284,0.00704225352112676,0.0352112676056338,0.0276809899164502,0.0652164235525183,0.00946547884187082,0.0417647058823529
"ABQ","OAK",900,0.00777777777777778,0.0533333333333333,0.0165597987093456,0.070514904771194,0.00861361771944217,0.054602510460251
"ABQ","ORD",678,0.0457227138643068,0.148967551622419,0.0648206982931968,0.178449163386762,0.0430164630908125,0.143324250681199
"ABQ","PDX",267,0,0.0149812734082397,0.0177784900237674,0.0400163973879826,0.00409117475160725,0.0253869969040248
"ABQ","PHX",3025,0.0105785123966942,0.0588429752066116,0.0150532412205256,0.0680169455370631,0.0107734984839688,0.0591366439467705
"ABQ","SAN",724,0.00552486187845304,0.0552486187845304,0.0149433373827258,0.0749753275821715,0.00675675675675676,0.0566666666666667
"ABQ","SEA",581,0.00688468158347676,0.0499139414802065,0.0185876782281851,0.0715153315798496,0.00822919841511734,0.0521193092621664
"ABQ","SFO",365,0.0246575342465753,0.150684931506849,0.0475166178389031,0.192099027980956,0.0236256247160382,0.14061757719715
"ABQ","SLC",1031,0.00387972841901067,0.020368574199806,0.0105166752710497,0.0313859809307717,0.00488157656843247,0.0231830726770929
"ALB","ATL",1026,0.00974658869395711,0.0477582846003899,0.0183375985690776,0.063033750643012,0.010352342898656,0.0491682070240296
"ALB","BWI",1862,0.0214822771213749,0.0553168635875403,0.0293755533016089,0.0669394194884105,0.0213710510014454,0.0558915537017727
"ALB","CLT",719,0.00973574408901252,0.0389429763560501,0.0206950742124937,0.0563274862790849,0.0105766809367917,0.0415483870967742
"ALB","DTW",636,0.0125786163522013,0.0487421383647799,0.0254296096859462,0.0690453145248681,0.0132170978627672,0.0508670520231214
"ALB","FLL",316,0.0126582278481013,0.0316455696202532,0.0339151069481887,0.058740806834958,0.0138036809815951,0.0381720430107527
"ALB","LAS",301,0.00664451827242525,0.0398671096345515,0.0261432259830384,0.0698673741323181,0.00903774587985114,0.0453781512605042
"ALB","MCO",703,0.0142247510668563,0.0483641536273115,0.0266890452146744,0.0674547274036956,0.0146491904394757,0.0503293807641634
"ALB","MDW",727,0.0247592847317744,0.0715268225584594,0.0394269038136524,0.0932198129165412,0.0241834953876839,0.0717752234993614
"ALB","MSP",143,0.00699300699300699,0.0559440559440559,0.043731778425656,0.109562216844379,0.0109990834097159,0.0613065326633166
"ALB","ORD",975,0.0328205128205128,0.133333333333333,0.0464326960124026,0.156663013580323,0.031803466006475,0.130164888457808
"ALB","TPA",420,0.00952380952380952,0.0404761904761905,0.0256230976235419,0.0649062056494694,0.0109046849757674,0.0445378151260504
"ANC","DEN",468,0.00427350427350427,0.0876068376068376,0.01691316691794,0.117591567636158,0.00625920471281296,0.0862595419847328
"ANC","DFW",120,0,0.0666666666666667,0.0387542298700925,0.129549781842122,0.00717213114754098,0.0693181818181818
"ANC","HNL",260,0,0.0269230769230769,0.018248837186509,0.0564274259405368,0.00417661097852029,0.0354430379746835
"ANC","LAS",146,0.00684931506849315,0.0273972602739726,0.0428619042659763,0.072,0.0108499095840868,0.0405940594059406
"ANC","LAX",403,0,0.0148883374689826,0.0118463614592122,0.033417647947806,0.00292764533667921,0.0222222222222222
"ANC","LGB",111,0,0.027027027027027,0.0417715150548425,0.0815116108580999,0.0075187969924812,0.0431137724550898
"ANC","MSP",672,0.00595238095238095,0.0357142857142857,0.0160905177442637,0.0532544378698225,0.00722698072805139,0.0387362637362637
"ANC","ORD",668,0.0134730538922156,0.0583832335329341,0.0261588327166126,0.0794783241300748,0.0139935414424112,0.0596685082872928
"ANC","PDX",898,0.0044543429844098,0.0144766146993318,0.0120650316804141,0.0251455544125463,0.00554870530209618,0.0180293501048218
