"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"DEN",2234,0.00805729632945389,0.0774395702775291,0.0129151996209418,0.0895451473834074,0.00840117789710722,0.0773799126637554
"GEG",645,0.00155038759689922,0.0589147286821705,0.0099477441342358,0.0805132646910409,0.00333240766453763,0.0601997146932953
"IAH",313,0.0223642172523962,0.0958466453674121,0.0470479912221363,0.134787008624607,0.0216383307573416,0.0926829268292683
"LAS",716,0.00279329608938547,0.0516759776536313,0.0110956575191302,0.0710375223534698,0.00429726996966633,0.0533678756476684
"LAX",968,0.0134297520661157,0.0795454545454545,0.023339471241665,0.098805234074792,0.0138036809815951,0.079296875
"MDW",64,0,0.09375,0.0703900321187786,0.195789548724126,0.0100574712643678,0.085
"MSP",637,0,0.0408163265306122,0.00752575843158365,0.059827273492557,0.0019657399606852,0.0435786435786436
"OAK",716,0.00418994413407821,0.0656424581005587,0.0131341397949634,0.086826691333893,0.00556117290192113,0.0663212435233161
"ORD",391,0.0383631713554987,0.158567774936061,0.0634602775623271,0.199105197831816,0.0351780351780352,0.148098434004474
"PHX",1183,0.00253592561284869,0.043956043956044,0.00797195200185247,0.0575895068318026,0.00349705929105071,0.0453591606133979
"SAN",365,0.0136986301369863,0.063013698630137,0.0331736365924439,0.093916818189003,0.0145388459791004,0.0646080760095012
"SEA",234,0.00427350427350427,0.047008547008547,0.0270680664064988,0.084081492801017,0.00776196636481242,0.0524137931034483
"SFO",1687,0.030823947836396,0.126852400711322,0.0404851390894306,0.143969513897632,0.0303030303030303,0.125186460126219
"SLC",1544,0.00194300518134715,0.0233160621761658,0.00611428144166597,0.0324138016438002,0.00271739130434783,0.025125
