"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ATL",1070,0.00747663551401869,0.0327102803738318,0.0151722928634211,0.0455811297247923
"AUS",3,0,0,0.627208174095541,0.627208174095541
"DAL",315,0.00317460317460317,0.0317460317460317,0.0202124584896173,0.0589236460672052
"DEN",3793,0.00738201950962299,0.0453466912733984,0.0107745825419807,0.052612652485525
"DFW",3298,0.0191024863553669,0.0645845967252881,0.0245199941912165,0.0736992604000404
"EWR",820,0.025609756097561,0.0609756097560976,0.0393893827947909,0.0800482040542955
"HOU",420,0.0119047619047619,0.0380952380952381,0.0288859457062171,0.0620358868327531
"IAH",1650,0.0139393939393939,0.0672727272727273,0.0211149563976878,0.0807262403086691
"LAS",2590,0.00656370656370656,0.0335907335907336,0.0106730192899849,0.0414577709523039
"MDW",3,0,0,0.627208174095541,0.627208174095541
"MSP",1008,0.000992063492063492,0.0128968253968254,0.0063823747690508,0.0224193147254213
"OAK",2692,0.0037147102526003,0.0293462109955423,0.00701512135926992,0.0366200064159946
"ORD",2268,0.0238095238095238,0.0608465608465608,0.0311536227370085,0.0717093455857114
"PDX",1005,0.00497512437810945,0.0437810945273632,0.0121636428273213,0.0587233387479915
"PHX",4216,0.00450664136622391,0.0284629981024668,0.0071427295408072,0.0340684974662023
"SEA",2550,0.00588235294117647,0.0145098039215686,0.00987420560250163,0.0201230489409209
"SFO",4693,0.0294054975495419,0.0837417430215214,0.0347687840844638,0.0921952597456464
"SJC",2940,0.00918367346938776,0.0326530612244898,0.0134908802757625,0.0399003621081038
"SLC",1711,0.00292226767971946,0.0227936879018118,0.0071607536998645,0.0312841077968655
"SMF",2324,0.00430292598967298,0.0228055077452668,0.00812299139447018,0.0299210218355707
