"DEST","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ABQ",675,0.0355555555555556,0.121481481481481,0.0530204471478519,0.14898240027961
"ALB",974,0.0297741273100616,0.151950718685832,0.0429014563092534,0.176419540840591
"ANC",668,0.0149700598802395,0.0763473053892216,0.0280745024155594,0.0996640677627755
"ATL",6029,0.0210648532094875,0.110797810582186,0.0251071546086334,0.119146283904824
"AUS",2276,0.0246045694200351,0.129173989455185,0.0320335805367755,0.1439026733595
"BDL",1505,0.0358803986710963,0.138870431893688,0.0468431366945381,0.157683311217351
"BHM",1080,0.0435185185185185,0.135185185185185,0.0578228047718231,0.157388510027301
"BNA",3959,0.0429401363980803,0.14675423086638,0.0498749016863471,0.158364246147003
"BOI",391,0.0383631713554987,0.158567774936061,0.0634602775623271,0.199105197831816
"BOS",7288,0.0289517014270033,0.124725576289791,0.0331540828756208,0.13267540000547
"BUF",1991,0.0502260170768458,0.13360120542441,0.0609904108921303,0.149605494129148
"BWI",2047,0.033219345383488,0.142159257449927,0.0421478167325656,0.158310567925771
"CHS",841,0.0392390011890606,0.12128418549346,0.0551296135435716,0.145680163571718
"CID",3142,0.0611075747931254,0.137492043284532,0.0702429142208323,0.150249459290734
"CLE",4835,0.0320579110651499,0.125542916235781,0.0375387569634665,0.135388649768256
"CLT",5238,0.0248186330660557,0.084192439862543,0.029509175066897,0.0921932753439797
"CMH",4044,0.0427794263105836,0.136003956478734,0.049624332878916,0.147151227822691
"COS",1138,0.0289982425307557,0.165202108963093,0.0408488902700491,0.188415518190882
"CVG",4166,0.0487277964474316,0.126740278444551,0.0558568101435772,0.137414397505432
"DAY",2785,0.0473967684021544,0.113824057450628,0.0561450901600313,0.126431076582325
"DCA",6584,0.0356925880923451,0.116190765492102,0.0405632537570969,0.124326875634043
"DEN",5392,0.0179896142433234,0.134458456973294,0.022000806908952,0.144025538618533
"DFW",8014,0.0298228100823559,0.128774644372348,0.0338710617981301,0.136445727969349
"DSM",3451,0.0515792523906114,0.146913937988989,0.05965976649005,0.159382328397993
"DTW",4878,0.0412054120541205,0.117261172611726,0.0472955512060872,0.126794683884559
"ELP",587,0.0272572402044293,0.155025553662692,0.0445940181512631,0.187317861393237
"EWR",4015,0.0361145703611457,0.148443337484433,0.0424984117263104,0.160020655928021
"FLL",2221,0.0126069338135975,0.0783430886987843,0.0183731911423745,0.0905447134967253
"GRR",3032,0.0534300791556728,0.130277044854881,0.0622236890659724,0.143001651777924
"GSO",648,0.0277777777777778,0.140432098765432,0.0441810143625479,0.170028916495734
"GSP",540,0.0425925925925926,0.0981481481481482,0.0639108790419886,0.126953350272952
"HNL",365,0.0164383561643836,0.117808219178082,0.036843353173782,0.15602099003754
"HPN",2002,0.0749250749250749,0.134865134865135,0.0875897642904168,0.150880936162769
"IAD",2171,0.0225702441271304,0.121602947950253,0.0299376594781827,0.136349127569426
"IAH",4286,0.0195986934204386,0.117592160522632,0.0243264315004683,0.12779778013748
"ICT",2069,0.0546157564040599,0.16626389560174,0.0655302547478873,0.183287914418459
"IND",3427,0.0504814706740589,0.12255617157864,0.0585176166495944,0.13421035784178
"JAN",655,0.0549618320610687,0.151145038167939,0.0758241139781667,0.18132846334336
"JAX",568,0.0211267605633803,0.0950704225352113,0.0373971475893717,0.122753724339068
"JFK",1719,0.0226876090750436,0.133216986620128,0.0311392711849239,0.150485435408869
"LAS",3802,0.00999473961073119,0.104944765912678,0.0138156767625845,0.11531303955056
"LAX",8161,0.0131111383408896,0.0939835804435731,0.0158898677477519,0.100647319557534
"LGA",10209,0.0481927710843374,0.14526398276031,0.0526156688741023,0.152379144684706
"LIT",2470,0.0445344129554656,0.138461538461538,0.053630299333188,0.15295839657557
"MCI",2476,0.0323101777059774,0.132067851373183,0.0402455006403588,0.146284223570537
"MCO",4221,0.0149253731343284,0.102819237147595,0.0191715976331361,0.112555689227848
"MEM",2404,0.0561564059900166,0.145590682196339,0.0663346034670643,0.160578263637765
"MIA",4138,0.0164330594490092,0.083373610439826,0.0209056499470352,0.0923856033381329
"MKE",5539,0.0561473190106517,0.145874706625745,0.0626682450122203,0.155619319765777
"MSN",3744,0.0598290598290598,0.132745726495726,0.0680752426237805,0.144235955299864
"MSP",6040,0.0228476821192053,0.124834437086093,0.0270331964769541,0.133593125890698
"MSY",1329,0.0210684725357412,0.124905944319037,0.0306305185922372,0.144211863539901
"OAK",181,0.0220994475138122,0.132596685082873,0.0584804420607875,0.191644863519498
"OGG",90,0.0111111111111111,0.133333333333333,0.0681742039004684,0.222378632107463
"OKC",2086,0.0426653883029722,0.145254074784276,0.052468330214779,0.161377718602815
"OMA",2059,0.0446818844099077,0.129188926663429,0.0547473596235726,0.144711959089352
"ORF",655,0.0412213740458015,0.13587786259542,0.0599858627374098,0.164965999030736
"PBI",624,0.0128205128205128,0.0753205128205128,0.0259140103689525,0.099431099704346
"PDX",2271,0.0154117129018054,0.104799647732277,0.0215675565160201,0.118375391055829
"PHL",4386,0.0305517555859553,0.113315093479252,0.0362094955301118,0.123248497961332
"PHX",4732,0.0131022823330516,0.0805156382079459,0.0168689873676065,0.0887932338138697
"PIT",2017,0.0302429350520575,0.107585523054041,0.038904069002102,0.122190853022348
"PNS",228,0.0307017543859649,0.0745614035087719,0.0641485757451735,0.117901701389303
"PSP",377,0.00530503978779841,0.0610079575596817,0.0209421186935446,0.0909877949887869
"PVD",588,0.0510204081632653,0.153061224489796,0.0726413596055507,0.185185519096604
"RDU",1911,0.0198848770277342,0.109366823652538,0.0274236594777833,0.124493203140963
"RIC",2399,0.0533555648186744,0.131304710295957,0.0633283847374948,0.145725015572775
"RNO",425,0.0141176470588235,0.124705882352941,0.0317106328030914,0.160487185445119
"ROC",1780,0.0325842696629213,0.103370786516854,0.0421688288998106,0.118730557786716
"RSW",1676,0.0101431980906921,0.0841288782816229,0.0164692622858988,0.0987357211649578
"SAN",2706,0.00997782705099778,0.0894308943089431,0.0146540765277393,0.10103373030074
"SAT",1088,0.015625,0.122242647058824,0.0253128419779636,0.143547729385359
"SAV",920,0.0304347826086957,0.117391304347826,0.0441289521539988,0.140355025178971
"SDF",1783,0.0493550196298374,0.129556926528323,0.0607105211545511,0.146317253940564
"SEA",4376,0.00776965265082267,0.0811243144424132,0.010947621730728,0.0897753726094746
"SFO",7726,0.0147553714729485,0.119466735697644,0.0177721117299042,0.127046866024779
"SJC",689,0.00870827285921625,0.0870827285921626,0.019659607610718,0.111150152851816
"SJU",1103,0.0099728014505893,0.0634632819582956,0.0182191832814436,0.0798639534555374
"SLC",2734,0.0157278712509144,0.12545720555962,0.0212949961245488,0.138688513997627
"SMF",593,0.00674536256323777,0.111298482293423,0.0182149067523794,0.139907484303259
"SNA",2268,0.0238095238095238,0.0608465608465608,0.0311536227370085,0.0717093455857114
"STL",2242,0.0263157894736842,0.119536128456735,0.0340191084278963,0.133938029613328
"TPA",2458,0.0142392188771359,0.124898291293735,0.0199324795359497,0.138861342342918
"TUL",2500,0.04,0.1136,0.0486355156380396,0.126930084059479
"TUS",658,0.0121580547112462,0.0957446808510638,0.0245870166243434,0.121317908889164
"TYS",2457,0.0427350427350427,0.132682132682133,0.051699886420429,0.146981500655255
"XNA",2898,0.0396825396825397,0.152864044168392,0.0476198228648798,0.166719760810797
