"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"AA",120,0,0.0666666666666667,0.0387542298700925,0.129549781842122,120,0,0.0666666666666667,0.0387542298700925,0.129549781842122
"AS",7524,0.00584795321637427,0.0198032961190856,0.00790690128768916,0.0232902072989426,7524,0.00425305688463583,0.0228601807549176,0.00606210662282566,0.0265774626339499
"B6",262,0,0.0419847328244275,0.0181119318698597,0.0753108427394357,262,0,0.0610687022900763,0.0181119318698597,0.098470514560904
"DL",2027,0.00394671928959053,0.0350271336951159,0.00803001775234909,0.0442038902654425,2027,0.00197335964479526,0.0305870744943266,0.00536274634504569,0.0392643473934431
"F9",81,0,0.0493827160493827,0.056411216886697,0.126151886693287,82,0.0121951219512195,0.024390243902439,0.0744551734923277,0.0919287112497934
"UA",1035,0.0164251207729469,0.111111111111111,0.0266003077276597,0.132222227274006,1032,0.00968992248062015,0.112403100775194,0.018231623196919,0.133639866550543
"US",337,0.0178041543026706,0.0534124629080119,0.0398536785030026,0.0840997462637481,337,0.0118694362017804,0.0356083086053412,0.0318348641801943,0.0625457138164425
