"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"B6",1079,0.0194624652455978,0.0685820203892493,0.0299993221962206,0.0856996247619803,1079,0.0185356811862836,0.101019462465246,0.0288874070378327,0.120925476750872
"DL",1509,0.00795228628230616,0.0404241219350563,0.0141762142977618,0.0519104385674008,1509,0.00861497680583168,0.0397614314115308,0.0150082445412492,0.051171168618364
"EV",1376,0.0566860465116279,0.123546511627907,0.0705523874243831,0.142420846101205,1376,0.0494186046511628,0.117005813953488,0.0625386123112412,0.135491968014132
"OO",10,0,0,0.329901048773708,0.329901048773708,10,0,0,0.329901048773708,0.329901048773708
"UA",248,0.0241935483870968,0.120967741935484,0.0538346775452796,0.168932537945613,248,0.0241935483870968,0.157258064516129,0.0538346775452796,0.209199417842666
"US",1381,0.0267921795800145,0.0601013758146271,0.0370490168796428,0.0742702599728854,1380,0.0202898550724638,0.0644927536231884,0.0295051117833268,0.0790757885517223
"WN",6591,0.0235169170080413,0.0634198148991048,0.0275602493145821,0.0696984364339866,6590,0.021092564491654,0.085432473444613,0.0249459208625298,0.0925776720545158
