"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"DL",6478,0.00401358443964187,0.0342698363692498,0.00594880022276844,0.039094647723214,0.00418116340108649,0.0346189164370983,6476,0.00277949351451513,0.0345892526250772,0.0044645769065439,0.0394348194938723,0.00296128953474173,0.0349357011635028
"EV",4664,0.0471698113207547,0.124142367066895,0.0537879395179504,0.134127708629173,0.0467167454422687,0.123559322033898,4668,0.0383461868037704,0.101542416452442,0.0443880323190833,0.110734655798327,0.0380333951762523,0.101227773073666
"F9",1542,0.00648508430609598,0.121271076523995,0.0122259137193836,0.138913333076719,0.00704922087558744,0.119649561952441,1541,0.00584036340038936,0.123945489941596,0.0113977953981004,0.141742125824304,0.00643484717237966,0.12222917971196
"MQ",5636,0.0523420865862314,0.132540809084457,0.0586077277475591,0.141838976075177,0.0518980249334641,0.131974701335207,5635,0.0433007985803017,0.116415261756877,0.0490648904156712,0.125237985072667,0.0429757276452664,0.116007731505887
"OO",3387,0.0239149689991143,0.0959551225273103,0.0297836902523851,0.106569830985394,0.0237998960198718,0.0956142898634911,3388,0.0194805194805195,0.0867768595041322,0.0248603397345377,0.0969556857941611,0.0194617694617695,0.0865853658536585
