"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ABQ",284,0.00704225352112676,0.0352112676056338,0.0276809899164502,0.0652164235525183,0.00946547884187082,0.0417647058823529
"ALB",143,0.00699300699300699,0.0559440559440559,0.043731778425656,0.109562216844379,0.0109990834097159,0.0613065326633166
"ANC",672,0.00595238095238095,0.0357142857142857,0.0160905177442637,0.0532544378698225,0.00722698072805139,0.0387362637362637
"ATL",5232,0.00420489296636086,0.0378440366972477,0.00645062604371733,0.0434948096596212,0.00440910461260175,0.0382375189107413
"AUS",141,0,0.0283687943262411,0.0331645034443533,0.0744589688596034,0.00647548566142461,0.0416243654822335
"BDL",832,0.0108173076923077,0.0372596153846154,0.0210400302351731,0.0529426832542943,0.0114638447971781,0.0396396396396396
"BHM",61,0.0163934426229508,0.0327868852459016,0.0982033306789244,0.121153368961633,0.0176211453744493,0.052991452991453
"BNA",1087,0.0119595216191352,0.0533578656853726,0.0207997555556579,0.0687991906465629,0.0123902942694889,0.0544181977252843
"BOI",640,0,0.0265625,0.00749073251854544,0.0428388727373798,0.00195749440715884,0.0304597701149425
"BOS",1938,0.0154798761609907,0.0469556243550052,0.022255462654498,0.0575797185306173,0.0155970594079078,0.0477432296890672
"BUF",159,0,0.0188679245283019,0.0295154678163414,0.0576871820993289,0.00597779675491033,0.0334883720930233
"BWI",1031,0.00872938894277401,0.0455868089233754,0.0170028079904885,0.0605454888549954,0.00940155487253661,0.0471021159153634
"CID",422,0.00710900473933649,0.0639810426540284,0.0221732712691059,0.0924818615642596,0.0088495575221239,0.0652719665271966
"CLE",776,0.0154639175257732,0.0682989690721649,0.0274562214557907,0.0888460274106802,0.0157424812030075,0.06875
"CLT",2358,0.00551314673452078,0.0407124681933842,0.00961953088196601,0.0496968273227706,0.00591813250041098,0.0415078707539354
"CMH",580,0.0137931034482759,0.046551724137931,0.0278598851433288,0.0676361485476218,0.0143467643467643,0.0490566037735849
"CVG",494,0.0222672064777328,0.0748987854251012,0.0403942958669978,0.102391486848784,0.0217849613492621,0.0749090909090909
"DAY",480,0.0145833333333333,0.0520833333333333,0.0308759361670004,0.0766493334878741,0.0151296829971182,0.0544776119402985
"DCA",1834,0.0054525627044711,0.0490730643402399,0.0102859356061363,0.0602269086018561,0.0059710873664362,0.0498412698412698
"DEN",5656,0.00512729844413013,0.0661244695898161,0.00743904452882678,0.0730514412264072,0.00530429927414852,0.0662114845938375
"DFW",2734,0.0182882223847842,0.0961960497439649,0.0242091291432826,0.108086921825401,0.0182970240637904,0.0957706093189964
"DSM",186,0.021505376344086,0.0806451612903226,0.056952666657449,0.13088767728033,0.0206738131699847,0.0793388429752066
"DTW",2789,0.00143420580853352,0.0419505198996056,0.00390036326342787,0.0502497611744612,0.00188534320229034,0.0426010544815466
"EWR",1792,0.0452008928571429,0.106026785714286,0.0561218592684563,0.121486439786709,0.0441302485004285,0.10508658008658
"FLL",590,0.00677966101694915,0.0474576271186441,0.0183066908531305,0.068475151070533,0.00811785929043897,0.0498452012383901
"GEG",807,0.00495662949194548,0.0433705080545229,0.0134165522164005,0.0602771560333839,0.00612106098390388,0.045422943221321
"GRR",1151,0.00868809730668984,0.05125977410947,0.0163568126347151,0.0659761168284774,0.00929701516881422,0.0523612261806131
"IAD",880,0.0159090909090909,0.0772727272727273,0.0270670488888224,0.0973495758780869,0.0161222780569514,0.0771367521367521
"IAH",1889,0.015352038115405,0.0719957649550027,0.0222102345265789,0.0848505512203651,0.0154770389980654,0.0720822622107969
"ICT",567,0.0158730158730159,0.0599647266313933,0.0307689070368326,0.0833897690710085,0.0161943319838057,0.0613162118780096
"IND",994,0.00201207243460765,0.0321931589537223,0.00800799190350981,0.0455526380473664,0.00317994762439207,0.0344761904761905
