"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ABQ",1174,0.0161839863713799,0.0689948892674617,0.025537428906488,0.0853711687862204
"ANC",87,0.0344827586206897,0.183908045977011,0.102720213270916,0.28131741016835
"ATL",4295,0.00908032596041909,0.0640279394644936,0.0125017527165662,0.0719228636521452
"AUS",2381,0.0121797564048719,0.0600587988240235,0.0176364456010015,0.0705826506474307
"BHM",1715,0.0215743440233236,0.0956268221574344,0.0298705637334949,0.110815839086249
"BNA",1791,0.0189838079285315,0.0781686208821887,0.0266735689491301,0.0918499401954809
"BOI",315,0.0253968253968254,0.0666666666666667,0.0508609249213817,0.101063993746774
"BOS",1853,0.025364274150027,0.0793308148947652,0.0338255566463824,0.0928450286081363
"BTR",2678,0.0235250186706497,0.078790141896938,0.0301744679483689,0.0898605487280912
"BWI",883,0.0237825594563986,0.105322763306908,0.0366025816019155,0.127869363316442
"CHS",686,0.0262390670553936,0.0903790087463557,0.0417589733169211,0.114840459529503
"CLE",1295,0.0154440154440154,0.050965250965251,0.0240962701529665,0.0647074272422782
"CLT",4366,0.0180943655519927,0.0732936326156665,0.0226161099569074,0.081588376079052
"CMH",1039,0.0394610202117421,0.0923965351299326,0.0535394886598203,0.112028663195835
"COS",1040,0.0192307692307692,0.0855769230769231,0.0299630891487532,0.104624837586772
"CVG",1360,0.0264705882352941,0.107352941176471,0.0367711723365977,0.125346880573583
"DAL",1553,0.0276883451384417,0.0933676754668384,0.0373931327321333,0.109232914836954
"DCA",2403,0.0203911776945485,0.0865584685809405,0.0270588835529948,0.0987493130244676
"DEN",5286,0.0166477487703367,0.098940597805524,0.0205692952499028,0.107465479963875
"DFW",5132,0.0249415432579891,0.0943102104442712,0.0296949110227943,0.102794569869975
"DSM",658,0.0288753799392097,0.101823708206687,0.045345334093352,0.127981318427541
"DTW",2416,0.0177980132450331,0.0753311258278146,0.0240872244617631,0.0868089133207243
"ELP",1984,0.0151209677419355,0.0751008064516129,0.0217415910932271,0.0878393467820167
"EWR",3768,0.0238853503184713,0.0942144373673036,0.0294135575144444,0.104177143632093
"FLL",1843,0.00759631036353771,0.0575149213239284,0.0129752430134443,0.069392412366973
"GRR",353,0.0198300283286119,0.0736543909348442,0.0418036049914266,0.106889389658527
"GSP",604,0.0182119205298013,0.0794701986754967,0.0331144631861128,0.104519999526139
"HNL",366,0.0245901639344262,0.0546448087431694,0.0473889277464519,0.0840477520241319
"IAD",1732,0.0271362586605081,0.0964203233256351,0.0361756941854765,0.111579521540043
"ICT",1232,0.0316558441558442,0.0844155844155844,0.0433592684877182,0.10168973536091
"IND",1131,0.0167992926613616,0.0671971706454465,0.0265021742599767,0.0837407746713774
"JAN",2039,0.0279548798430603,0.099068170671898,0.0362892030590789,0.113118955552332
"JAX",880,0.0193181818181818,0.0875,0.0312484188394918,0.108555990431861
"LAS",2852,0.0119214586255259,0.0715287517531557,0.0167801575291491,0.081810498412762
"LAX",4601,0.0163008041730059,0.0775918278635079,0.0205000183398341,0.0858604810012046
"LGA",2718,0.0327446651949963,0.094186902133922,0.0403222479095197,0.106011909870392
"LIT",1896,0.0205696202531646,0.10126582278481,0.028245959071598,0.115998069201869
"MAF",2738,0.0314097881665449,0.0945945945945946,0.0388249983697056,0.106394881716414
"MCI",2185,0.0205949656750572,0.0750572082379863,0.0276671141079706,0.0871502455788751
"MCO",2697,0.0096403411197627,0.0982573229514275,0.0142643494314261,0.110338018414911
"MEM",1579,0.032298923369221,0.0892970234325522,0.0425233109933756,0.104744605173175
"MIA",3221,0.0133498913380938,0.0717168581185967,0.0180844887441099,0.0813659483169051
"MKE",1037,0.029893924783028,0.112825458052073,0.0425605710603094,0.134037062721889
"MSN",2,0,0,0.718233512793084,0.718233512793084
"MSP",1981,0.0191822311963655,0.0959111559818274,0.0264589496625935,0.109994190092282
"MSY",3146,0.013986013986014,0.0648442466624285,0.0188778578302292,0.0742066381526932
"OAK",76,0.0394736842105263,0.236842105263158,0.116626587736527,0.346824583655185
"OKC",1480,0.0162162162162162,0.1,0.0243317441670074,0.116727747189013
"OMA",1431,0.0195667365478686,0.0621942697414396,0.0284594703049378,0.0762814911542172
"ONT",626,0.0335463258785942,0.0766773162939297,0.0514523004357026,0.100903714057105
"ORD",4286,0.0195986934204386,0.117592160522632,0.0243264315004683,0.12779778013748
"ORF",328,0.0304878048780488,0.0945121951219512,0.0566320554674145,0.132238519385731
"PBI",458,0.0240174672489083,0.0960698689956332,0.0435258089299307,0.127427837391661
"PDX",931,0.0075187969924812,0.0386680988184748,0.0160118215701203,0.0535568952694116
"PHL",2297,0.0169786678276012,0.086634740966478,0.0233340472033444,0.0991256632090853
"PHX",3552,0.00760135135135135,0.0503941441441441,0.0111716317344332,0.0582715177590742
"PIT",1161,0.0129198966408269,0.0671834625322997,0.0216187336115121,0.083487916176242
"PNS",1532,0.0241514360313316,0.0783289817232376,0.033418237042797,0.0932260889744502
"PSP",247,0.00809716599190283,0.117408906882591,0.03174501787222,0.165040726096047
"RDU",1048,0.0276717557251908,0.0916030534351145,0.0398956585515963,0.111078188107993
"RIC",634,0.0252365930599369,0.110410094637224,0.0413240229725383,0.137906455068928
"RNO",81,0.0246913580246914,0.0740740740740741,0.0929970381263037,0.157459674950704
"RSW",644,0.0201863354037267,0.0496894409937888,0.0349626379401809,0.0699874023873677
"SAN",1731,0.0098209127671866,0.0415944540727903,0.0159480876897824,0.0523537477171898
"SAT",2908,0.0123796423658872,0.0591471801925722,0.0172555362747844,0.068537595945248
"SAV",500,0.014,0.076,0.0296551334400609,0.103446005022032
"SDF",707,0.0198019801980198,0.0975954738330976,0.033627951825112,0.122347038372453
"SEA",2351,0.00850701829008932,0.0395576350489154,0.013306544228707,0.0484485599280977
"SFO",3791,0.0152993932999209,0.0757056185702981,0.0198600736729028,0.0847641025981772
"SJC",526,0.0114068441064639,0.032319391634981,0.0256867899543718,0.0520002062782314
"SJU",463,0.0129589632829374,0.0691144708423326,0.0291395979305195,0.0968508755665214
"SLC",2113,0.00851869380028396,0.0539517274017984,0.0136523013225198,0.0646869109535749
"SMF",750,0.02,0.0506666666666667,0.0333590451012101,0.0693753560957414
"SNA",1603,0.01621958827199,0.0536494073611978,0.023951712612363,0.0661112213717319
"STL",571,0.0192644483362522,0.0910683012259194,0.0350071647114062,0.118243147749795
"TPA",1808,0.0138274336283186,0.0707964601769911,0.0205930398118,0.0838688073624263
"TUL",2343,0.0226205719163466,0.0776781903542467,0.0296794095570249,0.0894947490554131
"TUS",1415,0.015547703180212,0.0671378091872792,0.023759512066023,0.0817565546348168
"TYS",879,0.0261660978384528,0.10580204778157,0.0394761276368069,0.128442944605058
"XNA",1218,0.0254515599343186,0.0927750410509031,0.0362789952404093,0.110812998001494
