"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"AA",1436,0.0264623955431755,0.0891364902506964,0.0364390217286434,0.105381833581259,0.026071995764955,0.0886058981233244,1436,0.0201949860724234,0.0988857938718663,0.0291770937533203,0.115811388300842,0.0201164637374272,0.0979892761394102
"DL",4294,0.00582207731718677,0.0377270610153703,0.00869232462384259,0.0440016502541417,0.00604229607250755,0.0382068965517241,4297,0.00558529206423086,0.0370025599255294,0.00840901376184905,0.0432219603483111,0.00580943232240062,0.0374913852515507
"EV",3263,0.0453570334048422,0.116763714373276,0.0532372099111044,0.128489433685241,0.0447546581990294,0.116059053931907,3261,0.0413983440662374,0.107022385771236,0.0489779496054724,0.118345682348283,0.0408848390384269,0.106481760627073
"F9",483,0.0020703933747412,0.0869565217391304,0.013251366355292,0.116330607948306,0.00429953421712648,0.0857142857142857,481,0.00415800415800416,0.0582120582120582,0.0164607649560293,0.0837324659217745,0.00611290902553039,0.0599627560521415
"MQ",1678,0.0607866507747318,0.148390941597139,0.0735763739726289,0.166603025689538,0.0589778690394707,0.146020761245675,1678,0.0518474374255066,0.133492252681764,0.0638299620181179,0.150995141756605,0.0504220853296829,0.131603229527105
"OO",1219,0.044298605414274,0.116488925348646,0.0577432222543517,0.136175670932791,0.042806366867563,0.114666666666667,1220,0.030327868852459,0.104918032786885,0.0419031065497615,0.123822347873592,0.0296479308214947,0.103605015673981
"US",695,0.0215827338129496,0.0460431654676259,0.0359732735591362,0.0649137990167739,0.0212931706050377,0.048202396804261,697,0.0114777618364419,0.0559540889526542,0.023222941984101,0.0762141242533838,0.0121730121730122,0.0573705179282869
"WN",2605,0.018042226487524,0.072552783109405,0.0240965537981071,0.0834072693744215,0.01805835385419,0.0726042841037204,2605,0.0138195777351248,0.091362763915547,0.0192559272468537,0.103305635040045,0.0139541825236923,0.0910184141300263
